0,1,2,3,4,5,1,2,3,4
,FALSE,FALSE,FALSE,TRUE,Maybach,Kia Motors,Tata,McLaren,Maybach
,FALSE,FALSE,TRUE,FALSE,SEAT,Rivian,Eicher Motors,SEAT,Renault
,FALSE,TRUE,FALSE,FALSE,Cadillac,Opel,Cadillac,Tesla,Volkswagen
,TRUE,FALSE,FALSE,FALSE,Vauxhall,Vauxhall,BMW,Rolls Royce,Honda
,FALSE,FALSE,FALSE,TRUE,JanusMotorcycles,Royal Enfield,Subaru,Mitsubishi,Janus Motorcycles
,FALSE,FALSE,TRUE,FALSE,Polaris,Dodge,Lexus,Polaris,Suzuki
,FALSE,TRUE,FALSE,FALSE,Bugatti,SsangYong Motor,Bugatti,Yamaha,Mazda
,TRUE,FALSE,FALSE,FALSE,Infiniti,Infiniti,Piaggio,Jaguar,Mercedes Benz
,FALSE,FALSE,FALSE,TRUE,McLaren,Peugeot,Audi,Kawasaki,McLaren
,FALSE,FALSE,TRUE,FALSE,Bentley,Hyundai,Mahindra,Bentley,BMW
,FALSE,TRUE,FALSE,FALSE,Chevrolet,Daewoo,Chevrolet,KiaMotors,Subaru
,TRUE,FALSE,FALSE,FALSE,Pontiac,Pontiac,Royal Enfield,Rivian,Lexus
,FALSE,FALSE,FALSE,TRUE,Bridgestone,Piaggio,Dodge,Opel,Bridgestone
,FALSE,FALSE,TRUE,FALSE,TVS,Audi,SsangYong Motor,TVS,Tata
,FALSE,TRUE,FALSE,FALSE,Maserati,McLaren,Maserati,Pontiac,Eicher Motors
